"","sitio_mes","Synechocystis sp.","Skeletonema costatum","Anacystis montana","Cylindrotheca closterium","Spermatozopsis sp.","Navicula sp.","Fragilaria sp.","Thalassiosira sp.","Leptocylindrus minimus","Paralia sulcata","Asterionellopsis glacialis","Gymnodinium sp.","Pinnularia sp.","Thalassiosira angulata","Surirella sp.","Melosira nummuloides","Pseudo-nitzschia sp.","Coscinodiscus radiatus","Coscinodiscus sp.","Amphora sp."
"1","a_ABR",0,811,0,93,0,162,93,325,0,0,185,0,46,1739,23,23,0,23,23,0
"2","a_AGO",0,0,0,93,0,70,23,46,162,0,0,0,208,0,70,70,0,0,23,0
"3","a_DIC",0,209,0,185,0,23,46,46,46,0,0,0,46,0,0,0,46,23,69,0
"4","a_ENE",0,301,0,0,0,163,162,116,0,93,0,0,23,0,23,0,70,46,0,23
"5","a_FEB",0,263,0,15,0,54,15,31,23,23,0,0,0,0,15,31,0,8,8,0
"6","a_JUL",389000,324,0,973,6770,185,70,70,0,0,0,0,139,0,116,0,0,0,46,162
"7","a_JUN",0,93,0,232,0,162,46,0,0,0,0,2341,46,0,93,0,70,0,0,0
"8","a_MAR",0,1390,0,556,0,603,209,46,301,0,440,0,185,23,46,46,0,46,23,70
"9","a_MAY",830000,93,16761,139,0,0,348,0,0,70,162,0,23,0,23,0,46,23,0,23
"10","a_NOV",0,138,0,278,0,278,69,46,23,23,0,0,23,0,23,23,0,0,23,46
"11","a_OCT",0,138,0,139,0,0,0,0,23,0,0,0,23,0,69,23,0,0,23,46
"12","a_SEP",0,1160,0,348,0,325,70,140,811,0,23,0,0,0,209,46,70,23,0,140
"13","b_ABR",0,0,0,70,0,209,510,139,0,0,139,0,70,0,23,162,70,70,70,0
"14","b_AGO",0,0,0,185,0,23,0,46,0,70,0,0,46,46,0,23,23,0,23,0
"15","b_DIC",0,0,0,0,0,93,23,70,0,209,0,0,23,0,23,0,0,23,23,0
"16","b_ENE",0,0,0,139,0,0,0,139,0,23,23,0,70,0,162,23,46,116,0,23
"17","b_FEB",0,0,0,70,0,0,23,23,23,46,70,0,0,0,23,0,0,23,0,0
"18","b_JUL",0,0,0,209,0,93,46,93,46,23,209,0,23,0,0,23,70,0,0,0
"19","b_JUN",0,0,0,348,0,93,93,209,0,255,301,0,0,0,0,46,162,185,46,23
"20","b_MAR",0,185,0,162,0,255,23,0,116,0,116,0,70,0,23,93,23,23,23,0
"21","b_MAY",0,348,0,139,0,278,232,162,0,139,116,0,0,0,93,69,23,139,0,0
"22","b_NOV",0,209,0,533,23,93,46,46,46,116,0,0,23,0,23,0,46,23,69,23
"23","b_OCT",0,209,0,185,0,23,46,46,46,0,0,0,46,0,0,0,46,23,69,0
"24","b_SEP",0,0,0,371,0,23,533,371,209,232,116,0,0,0,0,0,70,0,263,70
"25","c_ABR",0,46,0,23,0,46,70,69,0,0,0,0,0,0,0,0,0,23,23,0
"26","c_AGO",0,9736,0,626,0,162,0,0,278,0,0,0,116,0,93,0,23,0,0,23
"27","c_DIC",0,0,0,0,0,0,93,162,0,70,0,0,23,0,46,0,23,46,0,23
"28","c_ENE",0,93,0,162,0,116,139,139,0,70,46,0,70,0,0,93,0,0,0,46
"29","c_FEB",0,209,0,0,0,417,23,23,0,0,23,0,70,0,23,70,0,46,23,46
"30","c_JUL",0,348,0,349,0,185,23,116,185,70,349,0,140,0,23,232,116,93,46,46
"31","c_JUN",0,0,0,23,0,140,0,0,140,348,23,0,46,0,0,70,93,70,70,46
"32","c_MAR",0,0,0,0,0,116,46,93,0,348,0,0,116,0,0,70,23,0,0,0
"33","c_MAY",0,0,0,23,0,70,93,23,0,0,139,0,0,0,0,0,0,46,0,0
"34","c_NOV",0,0,0,0,0,69,0,46,23,325,23,0,23,0,23,23,0,23,0,23
"35","c_OCT",0,0,0,0,0,93,0,0,69,0,0,0,46,0,69,23,0,0,0,0
"36","c_SEP",0,1507,0,278,0,232,46,116,325,140,160,0,46,0,325,0,23,0,162,96
